0,seas,trend,resid,actual_values
1973-06-18,-148.53047996335118,422.0134260726184,-13.482946109267232,260.0
1973-06-19,-149.50380591761268,422.0273627269463,-13.523556809333627,259.0
1973-06-20,-150.57419645113063,422.04129938127426,-10.467102930143625,261.0
1973-06-21,-151.5034258626655,422.05523603560215,-9.551810172936655,261.0
1973-06-22,-153.33963505241303,422.06917268993004,-7.729537637517012,261.0
1973-06-23,-154.43800993035364,422.08310934425793,-6.6450994139042905,261.0
1973-06-24,-156.77480620424996,422.0970459985858,-4.3222397943358715,261.0
1973-06-25,-158.51629915133606,422.1109826529137,-3.594683501577663,260.0
1973-06-26,-161.70886841936144,422.1249193072416,-1.416050887880175,259.0
1973-06-27,-164.54201172522116,422.1388559615695,1.4031557636516538,259.0
1973-06-28,-166.61155424830204,422.1527926158974,3.458761632404645,259.0
1973-06-29,-167.22623701926287,422.1667292702253,4.059507749037579,259.0
1973-06-30,-166.982276606923,422.1806659245532,3.8016106823698124,259.0
1973-07-01,-167.9516886668597,422.1946025788811,2.757086087978621,257.0
1973-07-02,-169.33381326299198,436.5780821917809,-12.244268928788898,255.0
1973-07-03,-170.82774672678852,436.70958904109574,-10.881842314307221,255.0
1973-07-04,-173.0336175682758,436.7945205479452,-9.760902979669396,254.0
1973-07-05,-173.7550135239183,436.6191780821917,-9.864164558273387,253.0
1973-07-06,-174.6004146980866,435.6904109589041,-8.089996260817514,253.0
1973-07-07,-174.0256593164819,434.1698630136986,-7.14420369721671,253.0
1973-07-08,-174.58489451188726,432.8000000000001,-7.215105488112869,251.0
1973-07-09,-174.69704126347358,431.5561643835616,-7.859123120088043,249.0
1973-07-10,-175.02308233991312,430.23287671232873,-6.209794372415615,249.0
1973-07-11,-175.1907411593403,429.11232876712324,-4.9215876077829535,249.0
1973-07-12,-176.2019746689175,428.2246575342466,-4.022682865329102,248.0
1973-07-13,-176.5689811726239,427.2356164383561,-3.6666352657321966,247.0
1973-07-14,-177.73559628689776,425.90684931506865,-1.171253028170895,247.0
1973-07-15,-179.06574695237842,424.48767123287666,0.5780757195017543,246.0
