data,seas,trend,resid,actual_values
2009-11-09 00:00:00,160.57097927508096,9190.518684931507,76.25033579341232,9427.34
2009-11-10 00:00:00,236.96807827051515,9194.331068493151,-69.3391467636672,9361.96
2009-11-11 00:00:00,212.2471661243962,9197.287205479453,-110.16437160384879,9299.37
2009-11-12 00:00:00,240.0781478595564,9200.006493150682,-161.1246410102395,9278.96
2009-11-13 00:00:00,132.56799607873418,9202.717424657532,-54.765420736266066,9280.52
2009-11-14 00:00:00,131.53147023398495,9205.37794520548,151.94058456053492,9488.85
2009-11-15 00:00:00,154.89073306503525,9206.2318630137,-417.9025960787356,8943.22
2009-11-16 00:00:00,144.9269224714281,9210.234739726027,34.21833780254377,9389.38
2009-11-17 00:00:00,192.88537580476188,9213.317397260273,83.31722693496593,9489.52
2009-11-18 00:00:00,214.38355973170292,9215.947315068493,-118.81087480019596,9311.52
2009-11-19 00:00:00,173.5760377225697,9218.548438356163,-171.52447607873273,9220.6
2009-11-20 00:00:00,165.52403753992132,9220.986465753424,-223.0905032933448,9163.42
2009-11-21 00:00:00,213.7104992750806,9224.846328767124,128.13317195779607,9566.69
2009-11-22 00:00:00,280.5685913298756,9226.379726027397,-584.1183173572724,8922.83
2009-11-23 00:00:00,252.94874457188527,9230.984767123287,17.086488304827782,9501.02
2009-11-24 00:00:00,319.2807056677749,9233.595041095889,4.584253236335712,9557.46
2009-11-25 00:00:00,282.66725927508173,9237.053342465751,98.08939825916627,9617.81
2009-11-26 00:00:00,282.92949854448784,9239.72690410959,40.863597345922926,9563.52
2009-11-27 00:00:00,292.96051553078905,9242.60109589041,-131.3016114211987,9404.26
2009-11-28 00:00:00,295.2850263983686,9245.75301369863,149.6519599030022,9690.69
2009-11-29 00:00:00,268.15667626138315,9246.557808219179,-574.1044844805613,8940.61
2009-11-30 00:00:00,267.2106037499667,9250.814739726029,137.05465652400414,9655.08
2009-12-01 00:00:00,264.74603297371146,9254.144739726027,-96.43077269973952,9422.46
2009-12-02 00:00:00,236.35719096457888,9256.530794520546,-85.0979854851239,9407.79
2009-12-03 00:00:00,234.92755041663418,9258.289698630138,-14.827249046773204,9478.39
